county,town,office,district,party,candidate,votes
Addison,Addison,Auditor General,,Democratic/Progressive,Doug Hoffer,427
Orleans,Albany,Auditor General,,Democratic/Progressive,Doug Hoffer,249
Grand Isle,Alburgh,Auditor General,,Democratic/Progressive,Doug Hoffer,475
Windsor,Andover,Auditor General,,Democratic/Progressive,Doug Hoffer,148
Bennington,Arlington,Auditor General,,Democratic/Progressive,Doug Hoffer,609
Windham,Athens,Auditor General,,Democratic/Progressive,Doug Hoffer,69
Franklin,Bakersfield,Auditor General,,Democratic/Progressive,Doug Hoffer,286
Windsor,Baltimore,Auditor General,,Democratic/Progressive,Doug Hoffer,55
Windsor,Barnard,Auditor General,,Democratic/Progressive,Doug Hoffer,296
Caledonia,Barnet,Auditor General,,Democratic/Progressive,Doug Hoffer,485
Washington,Barre City,Auditor General,,Democratic/Progressive,Doug Hoffer,1704
Washington,Barre Town,Auditor General,,Democratic/Progressive,Doug Hoffer,2289
Orleans,Barton,Auditor General,,Democratic/Progressive,Doug Hoffer,531
Lamoille,Belvidere,Auditor General,,Democratic/Progressive,Doug Hoffer,83
Bennington,Bennington,Auditor General,,Democratic/Progressive,Doug Hoffer,2739
Rutland,Benson,Auditor General,,Democratic/Progressive,Doug Hoffer,192
Franklin,Berkshire,Auditor General,,Democratic/Progressive,Doug Hoffer,325
Washington,Berlin,Auditor General,,Democratic/Progressive,Doug Hoffer,650
Windsor,Bethel,Auditor General,,Democratic/Progressive,Doug Hoffer,481
Essex,Bloomfield,Auditor General,,Democratic/Progressive,Doug Hoffer,47
Chittenden,Bolton,Auditor General,,Democratic/Progressive,Doug Hoffer,344
Orange,Bradford,Auditor General,,Democratic/Progressive,Doug Hoffer,477
Orange,Braintree,Auditor General,,Democratic/Progressive,Doug Hoffer,304
Rutland,Brandon,Auditor General,,Democratic/Progressive,Doug Hoffer,976
Windham,Brattleboro,Auditor General,,Democratic/Progressive,Doug Hoffer,2420
Windsor,Bridgewater,Auditor General,,Democratic/Progressive,Doug Hoffer,225
Addison,Bridport,Auditor General,,Democratic/Progressive,Doug Hoffer,331
Essex,Brighton,Auditor General,,Democratic/Progressive,Doug Hoffer,260
Addison,Bristol,Auditor General,,Democratic/Progressive,Doug Hoffer,1259
Orange,Brookfield,Auditor General,,Democratic/Progressive,Doug Hoffer,379
Windham,Brookline,Auditor General,,Democratic/Progressive,Doug Hoffer,139
Orleans,Brownington,Auditor General,,Democratic/Progressive,Doug Hoffer,269
Essex,Brunswick,Auditor General,,Democratic/Progressive,Doug Hoffer,25
Caledonia,Burke,Auditor General,,Democratic/Progressive,Doug Hoffer,345
Chittenden,Burlington,Auditor General,,Democratic/Progressive,Doug Hoffer,7709
Washington,Cabot,Auditor General,,Democratic/Progressive,Doug Hoffer,339
