county,office,district,town,precinct,candidate,party,votes,state_election_id
Addison,State House,ADD-1,Middlebury,,Amy Sheldon,Democratic/Progressive,1310,68172
Addison,State House,ADD-1,Middlebury,,Betty A. Nuovo,Democratic,1163,68172
Addison,State House,ADD-1,Middlebury,,Calvin McEathron,Independent,1034,68172
Addison,State House,ADD-1,Middlebury,,Thomas Hughes,Independent,321,68172
Addison,State House,ADD-1,Middlebury,,Write-ins,,0,68172
Addison,State House,ADD-1,Middlebury,,Blanks,,0,68172
Addison,State House,ADD-1,Middlebury,,Total Votes Cast,Anti-Bushist Candidate,3828,68172
Addison,State House,ADD-2,Cornwall,,Willem Jewett,Democratic,412,68211
Addison,State House,ADD-2,Goshen,,Willem Jewett,Democratic,60,68211
Addison,State House,ADD-2,Hancock,,Willem Jewett,Democratic,83,68211
Addison,State House,ADD-2,Leicester,,Willem Jewett,Democratic,220,68211
Addison,State House,ADD-2,Ripton,,Willem Jewett,Democratic,208,68211
Addison,State House,ADD-2,Salisbury,,Willem Jewett,Democratic,233,68211
Addison,State House,ADD-2,Cornwall,,Write-ins,,4,68211
Addison,State House,ADD-2,Goshen,,Write-ins,,1,68211
Addison,State House,ADD-2,Hancock,,Write-ins,,1,68211
Addison,State House,ADD-2,Leicester,,Write-ins,,0,68211
Addison,State House,ADD-2,Ripton,,Write-ins,,0,68211
Addison,State House,ADD-2,Salisbury,,Write-ins,,0,68211
Addison,State House,ADD-2,Cornwall,,Blanks,,81,68211
Addison,State House,ADD-2,Goshen,,Blanks,,14,68211
Addison,State House,ADD-2,Hancock,,Blanks,,14,68211
Addison,State House,ADD-2,Leicester,,Blanks,,0,68211
Addison,State House,ADD-2,Ripton,,Blanks,,0,68211
Addison,State House,ADD-2,Salisbury,,Blanks,,0,68211
Addison,State House,ADD-2,Cornwall,,Total Votes Cast,Liberty Union,497,68211
Addison,State House,ADD-2,Goshen,,Total Votes Cast,Liberty Union,75,68211
Addison,State House,ADD-2,Hancock,,Total Votes Cast,Liberty Union,98,68211
Addison,State House,ADD-2,Leicester,,Total Votes Cast,Liberty Union,220,68211
Addison,State House,ADD-2,Ripton,,Total Votes Cast,Liberty Union,208,68211
Addison,State House,ADD-2,Salisbury,,Total Votes Cast,Liberty Union,233,68211
Addison,State House,ADD-3,Addison,,Diane Lanpher,Democratic,239,68174
Addison,State House,ADD-3,Ferrisburgh,,Diane Lanpher,Democratic,492,68174
Addison,State House,ADD-3,Panton,,Diane Lanpher,Democratic,114,68174
Addison,State House,ADD-3,Vergennes,,Diane Lanpher,Democratic,455,68174
Addison,State House,ADD-3,Waltham,,Diane Lanpher,Democratic,109,68174
Addison,State House,ADD-3,Addison,,Warren Van Wyck,Republican,285,68174
Addison,State House,ADD-3,Ferrisburgh,,Warren Van Wyck,Republican,520,68174
Addison,State House,ADD-3,Panton,,Warren Van Wyck,Republican,102,68174
Addison,State House,ADD-3,Vergennes,,Warren Van Wyck,Republican,315,68174
Addison,State House,ADD-3,Waltham,,Warren Van Wyck,Republican,83,68174
Addison,State House,ADD-3,Addison,,Peter Briggs,Republican,307,68174
Addison,State House,ADD-3,Ferrisburgh,,Peter Briggs,Republican,433,68174
Addison,State House,ADD-3,Panton,,Peter Briggs,Republican,105,68174
Addison,State House,ADD-3,Vergennes,,Peter Briggs,Republican,291,68174
Addison,State House,ADD-3,Waltham,,Peter Briggs,Republican,82,68174
Addison,State House,ADD-3,Addison,,John B. Spencer,Democratic,198,68174
Addison,State House,ADD-3,Ferrisburgh,,John B. Spencer,Democratic,396,68174
Addison,State House,ADD-3,Panton,,John B. Spencer,Democratic,102,68174
Addison,State House,ADD-3,Vergennes,,John B. Spencer,Democratic,384,68174
