county,office,district,town,precinct,candidate,party,votes,state_election_id
Addison,State House,ADD-1,Middlebury,,Amy Sheldon,Democratic,925,82521
Addison,State House,ADD-1,Middlebury,,Robin Scheu,Democratic,632,82521
Addison,State House,ADD-1,Middlebury,,Jill Charbonneau,Democratic,581,82521
Addison,State House,ADD-1,Middlebury,,Write Ins,Democratic,5,82521
Addison,State House,ADD-1,Middlebury,,Blanks,Democratic,409,82521
Addison,State House,ADD-1,Middlebury,,Spoiled,Democratic,0,82521
Addison,State House,ADD-1,Middlebury,,Total Votes Cast,Democratic,2552,82521
Addison,State House,ADD-2,Cornwall,,Peter Conlon,Democratic,222,82440
Addison,State House,ADD-2,Goshen,,Peter Conlon,Democratic,32,82440
Addison,State House,ADD-2,Hancock,,Peter Conlon,Democratic,35,82440
Addison,State House,ADD-2,Leicester,,Peter Conlon,Democratic,64,82440
Addison,State House,ADD-2,Ripton,,Peter Conlon,Democratic,105,82440
Addison,State House,ADD-2,Salisbury,,Peter Conlon,Democratic,109,82440
Addison,State House,ADD-2,Cornwall,,Write Ins,Democratic,1,82440
Addison,State House,ADD-2,Goshen,,Write Ins,Democratic,0,82440
Addison,State House,ADD-2,Hancock,,Write Ins,Democratic,0,82440
Addison,State House,ADD-2,Leicester,,Write Ins,Democratic,0,82440
Addison,State House,ADD-2,Ripton,,Write Ins,Democratic,0,82440
Addison,State House,ADD-2,Salisbury,,Write Ins,Democratic,0,82440
Addison,State House,ADD-2,Cornwall,,Blanks,Democratic,18,82440
Addison,State House,ADD-2,Goshen,,Blanks,Democratic,8,82440
Addison,State House,ADD-2,Hancock,,Blanks,Democratic,7,82440
Addison,State House,ADD-2,Leicester,,Blanks,Democratic,19,82440
Addison,State House,ADD-2,Ripton,,Blanks,Democratic,23,82440
Addison,State House,ADD-2,Salisbury,,Blanks,Democratic,13,82440
Addison,State House,ADD-2,Cornwall,,Spoiled,Democratic,1,82440
Addison,State House,ADD-2,Goshen,,Spoiled,Democratic,0,82440
Addison,State House,ADD-2,Hancock,,Spoiled,Democratic,0,82440
Addison,State House,ADD-2,Leicester,,Spoiled,Democratic,0,82440
Addison,State House,ADD-2,Ripton,,Spoiled,Democratic,0,82440
Addison,State House,ADD-2,Salisbury,,Spoiled,Democratic,0,82440
Addison,State House,ADD-2,Cornwall,,Total Votes Cast,Democratic,242,82440
Addison,State House,ADD-2,Goshen,,Total Votes Cast,Democratic,40,82440
Addison,State House,ADD-2,Hancock,,Total Votes Cast,Democratic,42,82440
Addison,State House,ADD-2,Leicester,,Total Votes Cast,Democratic,83,82440
Addison,State House,ADD-2,Ripton,,Total Votes Cast,Democratic,128,82440
Addison,State House,ADD-2,Salisbury,,Total Votes Cast,Democratic,122,82440
Addison,State House,ADD-3,Addison,,Diane Lanpher,Democratic,95,82197
Addison,State House,ADD-3,Ferrisburgh,,Diane Lanpher,Democratic,268,82197
Addison,State House,ADD-3,Panton,,Diane Lanpher,Democratic,55,82197
Addison,State House,ADD-3,Vergennes,,Diane Lanpher,Democratic,229,82197
Addison,State House,ADD-3,Waltham,,Diane Lanpher,Democratic,58,82197
Addison,State House,ADD-3,Addison,,Frank. Fritz. Langrock,Democratic,64,82197
Addison,State House,ADD-3,Ferrisburgh,,Frank. Fritz. Langrock,Democratic,224,82197
Addison,State House,ADD-3,Panton,,Frank. Fritz. Langrock,Democratic,37,82197
Addison,State House,ADD-3,Vergennes,,Frank. Fritz. Langrock,Democratic,157,82197
Addison,State House,ADD-3,Waltham,,Frank. Fritz. Langrock,Democratic,43,82197
Addison,State House,ADD-3,Addison,,Write Ins,Democratic,0,82197
Addison,State House,ADD-3,Ferrisburgh,,Write Ins,Democratic,2,82197
Addison,State House,ADD-3,Panton,,Write Ins,Democratic,2,82197
Addison,State House,ADD-3,Vergennes,,Write Ins,Democratic,6,82197
Addison,State House,ADD-3,Waltham,,Write Ins,Democratic,1,82197
Addison,State House,ADD-3,Addison,,Blanks,Democratic,55,82197
Addison,State House,ADD-3,Ferrisburgh,,Blanks,Democratic,190,82197
Addison,State House,ADD-3,Panton,,Blanks,Democratic,30,82197
Addison,State House,ADD-3,Vergennes,,Blanks,Democratic,170,82197
Addison,State House,ADD-3,Waltham,,Blanks,Democratic,38,82197
Addison,State House,ADD-3,Addison,,Spoiled,Democratic,0,82197
Addison,State House,ADD-3,Ferrisburgh,,Spoiled,Democratic,0,82197
Addison,State House,ADD-3,Panton,,Spoiled,Democratic,0,82197
Addison,State House,ADD-3,Vergennes,,Spoiled,Democratic,0,82197
