county,town,precinct,office,district,candidate,party,votes
ADDISON,ADDISON,ADD-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,330
ORLEANS,ALBANY,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,241
GRAND ISLE,ALBURGH,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,398
WINDSOR,ANDOVER,WDR-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,167
BENNINGTON,ARLINGTON,BEN-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,649
WINDHAM,ATHENS,WDH-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,83
FRANKLIN,BAKERSFIELD,FRA-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,348
WINDSOR,BALTIMORE,WDR-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,51
WINDSOR,BARNARD,WDR-4-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,360
CALEDONIA,BARNET,CAL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,479
WASHINGTON,BARRE CITY,WAS-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1646
WASHINGTON,BARRE TOWN,WAS-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1845
ORLEANS,BARTON,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,519
LAMOILLE,BELVIDERE,LAM-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,72
BENNINGTON,BENNINGTON,BEN-2-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1613
BENNINGTON,BENNINGTON,BEN-2-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1515
RUTLAND,BENSON,ADD-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,205
FRANKLIN,BERKSHIRE,FRA-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,264
WASHINGTON,BERLIN,WAS-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,698
WINDSOR,BETHEL,WDR-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,616
ESSEX,BLOOMFIELD,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,32
CHITTENDEN,BOLTON,WAS-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,444
ORANGE,BRADFORD,ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,678
ORANGE,BRAINTREE,ORA-WAS-ADD,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,325
RUTLAND,BRANDON,RUT-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,975
WINDHAM,BRATTLEBORO,WDH-2-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1378
WINDHAM,BRATTLEBORO,WDH-2-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1407
WINDHAM,BRATTLEBORO,WDH-2-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1499
WINDSOR,BRIDGEWATER,RUT-WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,264
ADDISON,BRIDPORT,ADD-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,307
ESSEX,BRIGHTON,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,235
ADDISON,BRISTOL,ADD-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1172
ORANGE,BROOKFIELD,ORA-WAS-ADD,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,407
WINDHAM,BROOKLINE,WDH-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,154
ORLEANS,BROWNINGTON,ORL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,173
ESSEX,BRUNSWICK,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,24
CALEDONIA,BURKE,CAL-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,431
CHITTENDEN,BURLINGTON,CHI-6-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,3065
CHITTENDEN,BURLINGTON,CHI-6-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1890
CHITTENDEN,BURLINGTON,CHI-6-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,3126
CHITTENDEN,BURLINGTON,CHI-6-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2442
CHITTENDEN,BURLINGTON,CHI-6-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,3923
CHITTENDEN,BURLINGTON,CHI-6-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1119
CHITTENDEN,BURLINGTON,CHI-6-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,151
