county,town,precinct,office,district,candidate,party,votes
WASHINGTON,CABOT,CAL-WAS,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,451
WASHINGTON,CALAIS,WAS-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,722
LAMOILLE,CAMBRIDGE,LAM-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1252
ESSEX,CANAAN,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,184
RUTLAND,CASTLETON,RUT-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,831
WINDSOR,CAVENDISH,WDR-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,337
ORLEANS,CHARLESTON,ORL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,208
CHITTENDEN,CHARLOTTE,CHI-4-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1745
ORANGE,CHELSEA,ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,324
WINDSOR,CHESTER,WDR-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,777
RUTLAND,CHITTENDEN,RUT-WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,341
RUTLAND,CLARENDON,RUT-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,440
CHITTENDEN,COLCHESTER,CHI-9-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1876
CHITTENDEN,COLCHESTER,CHI-9-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2487
ESSEX,CONCORD,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,178
ORANGE,CORINTH,ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,359
ADDISON,CORNWALL,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,543
ORLEANS,COVENTRY,ORL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,206
ORLEANS,CRAFTSBURY,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,426
RUTLAND,DANBY,BEN-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,257
CALEDONIA,DANVILLE,CAL-WAS,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,652
ORLEANS,DERBY,ORL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,958
BENNINGTON,DORSET,BEN-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,708
WINDHAM,DOVER,WDH-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,409
WINDHAM,DUMMERSTON,WDH-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,832
WASHINGTON,DUXBURY,WAS-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,478
ESSEX,EAST HAVEN,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,46
WASHINGTON,EAST MONTPELIER,WAS-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1024
LAMOILLE,EDEN,ORL-LAM,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,233
LAMOILLE,ELMORE,LAM-WAS,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,382
FRANKLIN,ENOSBURGH,FRA-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,650
CHITTENDEN,ESSEX,CHI-8-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2720
CHITTENDEN,ESSEX,CHI-8-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,3177
CHITTENDEN,ESSEX,CHI-8-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,818
RUTLAND,FAIR HAVEN,RUT-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,520
FRANKLIN,FAIRFAX,FRA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1187
FRANKLIN,FAIRFIELD,FRA-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,526
ORANGE,FAIRLEE,ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,336
WASHINGTON,FAYSTON,WAS-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,573
ADDISON,FERRISBURGH,ADD-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,913
FRANKLIN,FLETCHER,FRA-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,383
FRANKLIN,FRANKLIN,FRA-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,265
FRANKLIN,GEORGIA,FRA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1089
ORLEANS,GLOVER,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,320
ADDISON,GOSHEN,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,75
WINDHAM,GRAFTON,WDH-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,206
ESSEX,GRANBY,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,18
GRAND ISLE,GRAND ISLE,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,667
ADDISON,GRANVILLE,ORA-WAS-ADD,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,109
ORLEANS,GREENSBORO,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,270
CALEDONIA,GROTON,ORA-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,203
ESSEX,GUILDHALL,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,49
WINDHAM,GUILFORD,WDH-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,827
WINDHAM,HALIFAX,WDH-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,226
ADDISON,HANCOCK,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,97
CALEDONIA,HARDWICK,CAL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,727
WINDSOR,HARTFORD,WDR-4-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,736
WINDSOR,HARTFORD,WDR-4-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2405
WINDSOR,HARTLAND,WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1111
FRANKLIN,HIGHGATE,FRA-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,529
CHITTENDEN,HINESBURG,CHI-4-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,14
CHITTENDEN,HINESBURG,CHI-4-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1677
ORLEANS,HOLLAND,ORL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,104
RUTLAND,HUBBARDTON,RUT-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,170
CHITTENDEN,HUNTINGTON,WAS-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,867
LAMOILLE,HYDE PARK,LAM-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,918
RUTLAND,IRA,RUT-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,94
ORLEANS,IRASBURG,ORL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,209
GRAND ISLE,ISLE LA MOTTE,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,167
WINDHAM,JAMAICA,WDH-BEN-WDR,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,270
ORLEANS,JAY,ORL-LAM,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,117
CHITTENDEN,JERICHO,CHI-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1991
LAMOILLE,JOHNSON,LAM-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,801
RUTLAND,KILLINGTON,RUT-WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,350
CALEDONIA,KIRBY,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,139
BENNINGTON,LANDGROVE,BEN-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,79
ADDISON,LEICESTER,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,218
ESSEX,LEMINGTON,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,22
ADDISON,LINCOLN,ADD-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,558
WINDHAM,LONDONDERRY,WDH-BEN-WDR,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,512
ORLEANS,LOWELL,ORL-LAM,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,144
WINDSOR,LUDLOW,RUT-WDR-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,545
ESSEX,LUNENBURG,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,176
CALEDONIA,LYNDON,CAL-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,876
ESSEX,MAIDSTONE,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,50
BENNINGTON,MANCHESTER,BEN-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1319
WINDHAM,MARLBORO,WDH-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,452
WASHINGTON,MARSHFIELD,WAS-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,468
RUTLAND,MENDON,RUT-WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,296
ADDISON,MIDDLEBURY,ADD-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2797
WASHINGTON,MIDDLESEX,WAS-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,751
RUTLAND,MIDDLETOWN SPRINGS,RUT-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,277
CHITTENDEN,MILTON,CHI-10,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2087
CHITTENDEN,MILTON,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,321
ADDISON,MONKTON,ADD-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,757
FRANKLIN,MONTGOMERY,FRA-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,404
WASHINGTON,MONTPELIER,WAS-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,3832
WASHINGTON,MORETOWN,WAS-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,693
ORLEANS,MORGAN,ORL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,122
LAMOILLE,MORRISTOWN,LAM-WAS,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1739
RUTLAND,MOUNT HOLLY,RUT-WDR-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,362
RUTLAND,MOUNT TABOR,BEN-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,30
ADDISON,NEW HAVEN,ADD-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,624
CALEDONIA,NEWARK,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,141
ORANGE,NEWBURY,ORA-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,523
WINDHAM,NEWFANE,WDH-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,660
ORLEANS,NEWPORT CITY,ORL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,754
ORLEANS,NEWPORT TOWN,ORL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,272
GRAND ISLE,NORTH HERO,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,345
WASHINGTON,NORTHFIELD,WAS-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1138
ESSEX,NORTON,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,30
WINDSOR,NORWICH,WDR-ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1892
ORANGE,ORANGE,ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,180
ADDISON,ORWELL,ADD-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,305
ADDISON,PANTON,ADD-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,186
RUTLAND,PAWLET,RUT-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,412
CALEDONIA,PEACHAM,CAL-WAS,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,289
BENNINGTON,PERU,BEN-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,149
RUTLAND,PITTSFIELD,WDR-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,155
RUTLAND,PITTSFORD,RUT-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,641
WASHINGTON,PLAINFIELD,WAS-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,491
WINDSOR,PLYMOUTH,WDR-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,165
WINDSOR,POMFRET,WDR-4-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,401
RUTLAND,POULTNEY,RUT-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,703
BENNINGTON,POWNAL,BEN-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,733
RUTLAND,PROCTOR,RUT-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,397
WINDHAM,PUTNEY,WDH-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1043
ORANGE,RANDOLPH,ORA-WAS-ADD,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1327
WINDSOR,READING,WDR-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,231
BENNINGTON,READSBORO,WDH-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,151
FRANKLIN,RICHFORD,FRA-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,351
CHITTENDEN,RICHMOND,CHI-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1753
ADDISON,RIPTON,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,252
WINDSOR,ROCHESTER,WDR-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,421
WINDHAM,ROCKINGHAM,WDH-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1207
WASHINGTON,ROXBURY,ORA-WAS-ADD,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,228
WINDSOR,ROYALTON,WDR-ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,802
BENNINGTON,RUPERT,RUT-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,224
RUTLAND,RUTLAND CITY,RUT-5-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1063
RUTLAND,RUTLAND CITY,RUT-5-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,840
RUTLAND,RUTLAND CITY,RUT-5-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,551
RUTLAND,RUTLAND CITY,RUT-5-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,774
RUTLAND,RUTLAND TOWN,RUT-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1034
CALEDONIA,RYEGATE,CAL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,249
ADDISON,SALISBURY,ADD-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,306
BENNINGTON,SANDGATE,BEN-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,112
BENNINGTON,SEARSBURG,WDH-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,15
BENNINGTON,SHAFTSBURY,BEN-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,842
WINDSOR,SHARON,WDR-ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,461
CALEDONIA,SHEFFIELD,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,139
CHITTENDEN,SHELBURNE,CHI-5-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1764
CHITTENDEN,SHELBURNE,CHI-5-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1311
FRANKLIN,SHELDON,FRA-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,362
ADDISON,SHOREHAM,ADD-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,361
RUTLAND,SHREWSBURY,RUT-WDR-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,321
CHITTENDEN,SOUTH BURLINGTON,CHI-7-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1780
CHITTENDEN,SOUTH BURLINGTON,CHI-7-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1977
CHITTENDEN,SOUTH BURLINGTON,CHI-7-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1844
CHITTENDEN,SOUTH BURLINGTON,CHI-7-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1449
GRAND ISLE,SOUTH HERO,GI-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,730
WINDSOR,SPRINGFIELD,WDR-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,70
WINDSOR,SPRINGFIELD,WDR-3-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1678
FRANKLIN,SAINT ALBANS CITY,FRA-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1397
FRANKLIN,SAINT ALBANS TOWN,FRA-3-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,537
FRANKLIN,SAINT ALBANS TOWN,FRA-3-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1048
CHITTENDEN,SAINT GEORGE,CHI-5-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,198
CALEDONIA,SAINT JOHNSBURY,CAL-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1483
BENNINGTON,STAMFORD,WDH-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,182
CALEDONIA,STANNARD,CAL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,75
ADDISON,STARKSBORO,ADD-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,548
WINDSOR,STOCKBRIDGE,WDR-RUT,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,235
LAMOILLE,STOWE,LAM-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1896
ORANGE,STRAFFORD,WDR-ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,522
WINDHAM,STRATTON,WDH-BEN-WDR,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,70
RUTLAND,SUDBURY,RUT-6,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,173
BENNINGTON,SUNDERLAND,BEN-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,77
BENNINGTON,SUNDERLAND,BEN-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,216
CALEDONIA,SUTTON,CAL-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,181
FRANKLIN,SWANTON,FRA-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1152
ORANGE,THETFORD,WDR-ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1167
RUTLAND,TINMOUTH,RUT-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,38
RUTLAND,TINMOUTH,RUT-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,103
ORANGE,TOPSHAM,ORA-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,223
WINDHAM,TOWNSHEND,WDH-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,444
ORLEANS,TROY,ORL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,83
ORLEANS,TROY,ORL-LAM,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,201
ORANGE,TUNBRIDGE,WDR-ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,442
CHITTENDEN,UNDERHILL,CHI-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1287
ADDISON,VERGENNES,ADD-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,807
WINDHAM,VERNON,WDH-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,481
ORANGE,VERSHIRE,ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,234
ESSEX,VICTORY,ESX-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,15
WASHINGTON,WAITSFIELD,WAS-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,787
CALEDONIA,WALDEN,CAL-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,265
RUTLAND,WALLINGFORD,RUT-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,491
ADDISON,WALTHAM,ADD-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,169
WINDHAM,WARDSBORO,WDH-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,203
WASHINGTON,WARREN,WAS-7,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,810
ORANGE,WASHINGTON,ORA-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,252
WASHINGTON,WATERBURY,WAS-CHI,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,2066
CALEDONIA,WATERFORD,CAL-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,286
LAMOILLE,WATERVILLE,LAM-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,210
WINDSOR,WEATHERSFIELD,WDR-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,699
RUTLAND,WELLS,RUT-BEN,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,251
ORANGE,WEST FAIRLEE,ORA-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,175
RUTLAND,WEST HAVEN,RUT-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,69
RUTLAND,WEST RUTLAND,RUT-2,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,421
WINDSOR,WEST WINDSOR,WDR-1,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,463
ORLEANS,WESTFIELD,ORL-LAM,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,147
CHITTENDEN,WESTFORD,CHI-8-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,734
WINDHAM,WESTMINSTER,WDH-3,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,47
WINDHAM,WESTMINSTER,WDH-4,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,1011
ORLEANS,WESTMORE,ESX-CAL-ORL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,97
WINDSOR,WESTON,WDH-BEN-WDR,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,248
ADDISON,WEYBRIDGE,ADD-5,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,414
CALEDONIA,WHEELOCK,ORL-CAL,U.S. Senate,,BERNIE SANDERS,INDEPENDENT,188
